# key row, key column, X, Y, size, rotation angle
0, 0,  30, 30, 100, 0
0, 1, 168, 30, 100, 0
0, 2, 304, 30, 100, 0
0, 3, 440, 30, 100, 0
0, 4, 577, 30, 100, 0
0, 5, 714, 30, 100, 0
0, 6, 916, 481, 100, 15

1, 0,  30, 168, 100, 0
1, 1, 168, 168, 100, 0
1, 2, 304, 168, 100, 0
1, 3, 440, 168, 100, 0
1, 4, 577, 168, 100, 0
1, 5, 714, 168, 100, 0
1, 6, 1053, 517, 100, 15

2, 0,  30, 300, 100, 0
2, 1, 168, 300, 100, 0
2, 2, 304, 300, 100, 0
2, 3, 440, 300, 100, 0
2, 4, 577, 300, 100, 0
2, 5, 714, 300, 100, 0
2, 6, 1017, 650, 100, 15

3, 0,  30, 440, 100, 0
3, 1, 168, 440, 100, 0
3, 2, 304, 440, 100, 0
3, 3, 440, 440, 100, 0
3, 4, 577, 440, 100, 0
3, 5, 714, 440, 100, 0
3, 6, 979, 786, 100, 15

4, 0,  30, 576, 100, 0
4, 1, 168, 576, 100, 0
4, 2, 304, 576, 100, 0
4, 3, 440, 576, 100, 0
4, 4, 577, 576, 100, 0
4, 5, 724, 648, 100, 15
4, 6, 860, 682, 100, 15
