# LED Index, X, Y, Radius
0, 941, 575, 20
1, 1075, 611, 20
2, 1040, 744, 20
3, 1004, 879, 20
4, 887, 778, 20
5, 755, 741, 20

6, 764, 524, 20
7, 764, 387, 20
8, 764, 251, 20
9, 764, 116, 20

10, 627, 116, 20
11, 627, 251, 20
12, 627, 387, 20
13, 627, 524, 20
14, 627, 660, 20

15, 490, 660, 20
16, 490, 524, 20
17, 490, 387, 20
18, 490, 251, 20
19, 490, 116, 20

20, 354, 116, 20
21, 354, 251, 20
22, 354, 387, 20
23, 354, 524, 20
24, 354, 660, 20

25, 218, 660, 20
26, 218, 524, 20
27, 218, 387, 20
28, 218, 251, 20
29, 218, 116, 20

30, 84, 116, 20
31, 84, 251, 20
32, 84, 387, 20
33, 84, 524, 20
34, 84, 660, 20
